CustomerID,Feedback,CleanedFeedback
1,I loved the product!!! 😍😍,i loved the product
2,BAD service... never again :(,bad service never again
3,Good quality - fast delivery.,good quality fast delivery
4,"Excellent service, will buy again!",excellent service will buy again
5,good quality - fast delivery.,good quality fast delivery
6,This is the WORST experience EVER!! 🤢,this is the worst experience ever
7,I'm happy with the service.,im happy with the service
9,The product was okay... nothing special.,the product was okay nothing special
10,I’ll definitely recommend it! 💯,ill definitely recommend it
11,"Amazing quality, but delivery was slow.",amazing quality but delivery was slow
12,Support team didn't respond for 3 days.,support team didnt respond for 3 days
13,I found the interface a bit confusing 😕,i found the interface a bit confusing
14,"Fast checkout process, very convenient.",fast checkout process very convenient
15,Product arrived broken and late.,product arrived broken and late
16,Cheap material and poor stitching 😡,cheap material and poor stitching
17,"Decent overall, but expected better.",decent overall but expected better
18,Really fast delivery and great packaging.,really fast delivery and great packaging
19,Too expensive for what it offers.,too expensive for what it offers
20,Returning the item. Not satisfied.,returning the item not satisfied
21,Great product and super fast delivery!,great product and super fast delivery
22,Packaging was damaged but product fine.,packaging was damaged but product fine
23,I love it! I love it! I love it! ❤️,i love it i love it i love it
24,App kept crashing on my phone 😠,app kept crashing on my phone
25,Ordered twice and happy both times.,ordered twice and happy both times
